code,code50,Name_Fi,Name_Sv,Name_AltGen,Name_Alt,province_Fi,province_Sv,Status,Urban,grouperMLK,grouperAll
91,11.0,Helsinki,Helsingfors,,,Uudenmaan lääni,Nylands län,Remain,1.0,91.0,91.0
78,20.0,Hanko,Hangö,,,Uudenmaan lääni,Nylands län,Remain,1.0,78.0,78.0
434,30.0,Loviisa,Lovisa,,,Uudenmaan lääni,Nylands län,Remain,1.0,434.0,434.0
612,40.0,Porvoo,Borgå,Porvoo kla,Porvoon kla,Uudenmaan lääni,Nylands län,Remain,1.0,612.0,612.0
835,50.0,Tammisaari,Ekenäs,,,Uudenmaan lääni,Nylands län,Remain,1.0,835.0,835.0
106,110.0,Hyvinkää,Hyvinge,Hyvinkää kla,Hyvinkään kla,Uudenmaan lääni,Nylands län,Remain,1.0,106.0,106.0
186,120.0,Järvenpää,Träskända,,,Uudenmaan lääni,Nylands län,Remain,1.0,186.0,858.0
220,130.0,Karjaa,Karis,Karjaa kla,Karjaan kla,Uudenmaan lääni,Nylands län,Remain,1.0,220.0,220.0
224,140.0,Karkkila,,Karkkila kla,Karkkilan kla,Uudenmaan lääni,Nylands län,Remain,1.0,224.0,627.0
235,150.0,Kauniainen,Grankulla,Kauniainen kla,Kauniaisten kla,Uudenmaan lääni,Nylands län,Remain,1.0,235.0,49.0
245,160.0,Kerava,Kervo,,Keravan kla,Uudenmaan lääni,Nylands län,Remain,1.0,245.0,858.0
427,170.0,Lohja,Lojo,,Lohjan kla,Uudenmaan lääni,Nylands län,Remain,1.0,427.0,427.0
15,1001.0,Artjärvi,Artsjö,,,Uudenmaan lääni,Nylands län,Remain,0.0,15.0,15.0
18,1002.0,Askola,,,,Uudenmaan lääni,Nylands län,Remain,0.0,18.0,18.0
34,1003.0,Bromarv,Bromarf,Bromarvi,,Uudenmaan lääni,Nylands län,Remain,0.0,34.0,34.0
39,401002.0,Degerby,,,,Uudenmaan lääni,Nylands län,Temporarily_Ceded,0.0,39.0,149.0
49,1004.0,Espoo,Esbo,,,Uudenmaan lääni,Nylands län,Remain,0.0,49.0,49.0
92,1005.0,Helsingin mlk,Helsinge,Helsinki mlk,Vantaa,Uudenmaan lääni,Nylands län,Remain,0.0,91.0,91.0
107,1006.0,Hyvinkään mlk,Hyvinge lk,Hyvinkää mlk,,Uudenmaan lääni,Nylands län,Remain,0.0,106.0,106.0
149,1007.0,Inkoo,Ingä,,Ingå,Uudenmaan lääni,Nylands län,Remain,0.0,149.0,149.0
221,1008.0,Karjaan mlk,Karis lk,Karjaa mlk,,Uudenmaan lääni,Nylands län,Remain,0.0,220.0,220.0
223,1009.0,Karjalohja,Karislojo,,,Uudenmaan lääni,Nylands län,Remain,0.0,223.0,223.0
257,101010.0,Kirkkonummi,Kyrkslätt,,,Uudenmaan lääni,Nylands län,Temporarily_Ceded,0.0,257.0,257.0
407,1011.0,Lapinjärvi,Lappträsk,,,Uudenmaan lääni,Nylands län,Remain,0.0,407.0,407.0
424,1012.0,Liljendal,,,Liljendaali,Uudenmaan lääni,Nylands län,Remain,0.0,424.0,424.0
428,1013.0,Lohjan mlk,Lojo lk,Lohja mlk,,Uudenmaan lääni,Nylands län,Remain,0.0,427.0,427.0
504,1014.0,Myrskylä,Mörskom,,,Uudenmaan lääni,Nylands län,Remain,0.0,504.0,504.0
505,1015.0,Mäntsälä,,,,Uudenmaan lääni,Nylands län,Remain,0.0,505.0,505.0
540,1016.0,Nummi,,,Nummi-Pusula,Uudenmaan lääni,Nylands län,Remain,0.0,540.0,540.0
543,1017.0,Nurmijärvi,,,,Uudenmaan lääni,Nylands län,Remain,0.0,543.0,543.0
560,1018.0,Orimattila,,,,Uudenmaan lääni,Nylands län,Remain,0.0,560.0,560.0
585,1019.0,Pernaja,Pemä,,Pernå,Uudenmaan lääni,Nylands län,Remain,0.0,585.0,585.0
606,1020.0,Pohja,Pojo,,,Uudenmaan lääni,Nylands län,Remain,0.0,606.0,606.0
611,1021.0,Pornainen,Borgnäs,,,Uudenmaan lääni,Nylands län,Remain,0.0,611.0,611.0
613,1022.0,Porvoon mlk,Borgä lk,Porvoo mlk,,Uudenmaan lääni,Nylands län,Remain,0.0,612.0,612.0
616,1023.0,Pukkila,,,,Uudenmaan lääni,Nylands län,Remain,0.0,616.0,616.0
622,1024.0,Pusula,,,,Uudenmaan lääni,Nylands län,Remain,0.0,622.0,622.0
627,1025.0,Pyhäjärvi,Pyhäjärvi U,,Pyhäjärvi U,Uudenmaan lääni,Nylands län,Remain,0.0,627.0,627.0
701,1026.0,Ruotsinpyhtää,Strömfors,,,Uudenmaan lääni,Nylands län,Remain,0.0,701.0,701.0
737,1027.0,Sammatti,,,,Uudenmaan lääni,Nylands län,Remain,0.0,737.0,737.0
753,1028.0,Sipoo,Sibbo,,,Uudenmaan lääni,Nylands län,Remain,0.0,753.0,753.0
755,101029.0,Siuntio,Sjundeå,,,Uudenmaan lääni,Nylands län,Temporarily_Ceded,0.0,755.0,755.0
756,1030.0,Snappertuna,,,,Uudenmaan lääni,Nylands län,Remain,0.0,756.0,756.0
836,1031.0,Tammisaaren mlk,Ekenäs lk,Tammisaari mlk,,Uudenmaan lääni,Nylands län,Remain,0.0,835.0,835.0
842,1032.0,Tenhola,Tenela,,,Uudenmaan lääni,Nylands län,Remain,0.0,842.0,842.0
858,1033.0,Tuusula,Tusby,,,Uudenmaan lääni,Nylands län,Remain,0.0,858.0,858.0
927,1034.0,Vihti,Vichtis,,,Uudenmaan lääni,Nylands län,Remain,0.0,927.0,927.0
853,10011.0,Turku,Åbo,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,853.0,853.0
529,10020.0,Naantali,Nädendal,,Nådendal,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,529.0,529.0
609,10030.0,Pori,Björneborg,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,609.0,609.0
684,10040.0,Rauma,Raumo,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,684.0,684.0
895,10050.0,Uusikaupunki,Nystad,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,895.0,895.0
143,10110.0,Ikaalinen,,Ikaalinen kla,Ikaalisten kla,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,143.0,143.0
430,10120.0,Loimaa,,Loimaa kla,Loimaan kla,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,430.0,430.0
579,10130.0,Parainen,Pargas,Parainen kla,Paraisten kla,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,579.0,579.0
734,10140.0,Salo,,Salo kla,Salon kla,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,734.0,734.0
912,10150.0,Vammala,,Vammala kla,Vammalan kla,Turun ja Porin lääni,Turun ja Porin lääni,Remain,1.0,912.0,861.0
1,11001.0,Ahlainen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,1.0,1.0
6,11002.0,Alastaro,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,6.0,6.0
11,11003.0,Angelniemi,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,11.0,11.0
17,11004.0,Askainen,Villnäs,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,17.0,17.0
19,11005.0,Aura,,,Prunkkala,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,19.0,19.0
40,11006.0,Dragsfjärd,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,40.0,40.0
50,11007.0,Eura,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,50.0,50.0
51,11008.0,Eurajoki,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,51.0,51.0
73,11009.0,Halikko,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,73.0,73.0
79,11010.0,Harjavalta,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,79.0,79.0
94,11011.0,Hiittinen,Hitis,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,94.0,94.0
96,11012.0,Hinnerjoki,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,96.0,96.0
99,11013.0,Hongonjoki,,Honkajoki,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,99.0,99.0
100,11014.0,Honkilahti,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,100.0,100.0
101,11015.0,Houtskari,Houtskär,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,101.0,101.0
102,11016.0,Huittinen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,102.0,102.0
108,11017.0,Hämeenkyrö,Tavastkyro,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,108.0,108.0
144,11018.0,Ikaalisten mlk,,Ikaalinen mlk,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,143.0,143.0
150,11019.0,Iniö,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,150.0,150.0
181,11020.0,Jämijärvi,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,181.0,181.0
202,11021.0,Kaarina,St Karins,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,202.0,853.0
207,11022.0,Kakskerta,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,207.0,207.0
209,11023.0,Kalanti,,,Uusikirkko Tl,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,209.0,209.0
214,11024.0,Kankaanpää,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,214.0,214.0
219,11025.0,Karinainen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,219.0,219.0
222,11026.0,Karjala,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,222.0,222.0
225,11027.0,Karkku,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,225.0,225.0
228,11028.0,Karuna,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,228.0,228.0
230,11029.0,Karvia,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,230.0,230.0
237,11030.0,Kauvatsa,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,237.0,237.0
238,11031.0,Keikyä,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,238.0,238.0
243,11032.0,Kemiö,Kimito,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,243.0,243.0
250,11033.0,Kihniö,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,250.0,250.0
252,11034.0,Kiikala,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,252.0,252.0
253,11035.0,Kiikka,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,253.0,253.0
254,11036.0,Kiikoinen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,254.0,254.0
259,11037.0,Kisko,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,259.0,259.0
262,11038.0,Kiukainen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,262.0,262.0
266,11039.0,Kodisjoki,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,266.0,266.0
271,11040.0,Kokemäki,Kumo,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,271.0,271.0
279,11041.0,Korppoo,Korpo,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,279.0,279.0
284,11042.0,Koski,Koski Tl,,Koski Tl,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,284.0,284.0
293,11043.0,Kullaa,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,293.0,293.0
304,11044.0,Kustavi,Gustavs,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,304.0,304.0
308,11045.0,Kuusjoki,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,308.0,308.0
319,11046.0,Köyliö,Kjulo,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,319.0,319.0
400,11047.0,Laitila,,Laitila kla,Laitilan kla,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,400.0,400.0
406,11048.0,Lappi,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,406.0,406.0
413,11049.0,Lavia,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,413.0,413.0
419,11050.0,Lemu,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,419.0,419.0
423,11051.0,Lieto,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,423.0,423.0
431,11052.0,Loimaan mlk,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,430.0,430.0
432,11053.0,Lokalahti,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,432.0,432.0
442,11054.0,Luvia,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,442.0,442.0
477,11055.0,Maaria,St Marie,,Räntämäki,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,477.0,853.0
480,11056.0,Marttila,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,480.0,480.0
481,11057.0,Masku,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,481.0,481.0
482,11058.0,Mellilä,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,482.0,482.0
484,11059.0,Merikarvia,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,484.0,484.0
485,11060.0,Merimasku,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,485.0,485.0
487,11061.0,Metsämaa,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,487.0,487.0
490,11062.0,Mietoinen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,490.0,490.0
493,11063.0,Mouhijärvi,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,493.0,493.0
501,11064.0,Muurla,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,501.0,501.0
503,11065.0,Mynämäki,Virmo,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,503.0,503.0
530,11066.0,Naantalin mlk,Nädendals lk,Naantnali mlk,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,529.0,529.0
531,11067.0,Nakkila,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,531.0,531.0
533,11068.0,Nauvo,Nagu,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,533.0,533.0
537,11069.0,Noormarkku,Norrmark,Normarkku,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,537.0,537.0
538,11070.0,Nousiainen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,538.0,538.0
561,11071.0,Oripää,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,561.0,561.0
574,11072.0,Paattinen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,574.0,574.0
577,11073.0,Paimio,Pemar,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,577.0,577.0
573,11074.0,Paraisten mlk,Pargas lk,Parainen mlk,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,579.0,579.0
581,11075.0,Parkano,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,581.0,581.0
586,11076.0,Perniö,Bjärnä,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,586.0,586.0
587,11077.0,Pertteli,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,587.0,587.0
602,11078.0,Piikkiö,Pikis,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,602.0,602.0
608,11079.0,Pomarkku,Pämark,,Poomarkku,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,608.0,608.0
610,11080.0,Porin mlk,Björneborg lk,Pori mlk,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,609.0,609.0
619,11081.0,Punkalaidun,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,619.0,619.0
629,11082.0,Pyhämaa,,Pyhämaan luoto,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,629.0,629.0
631,11083.0,Pyhäranta,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,631.0,631.0
636,11084.0,Pöytyä,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,636.0,636.0
680,11085.0,Raisio,Reso,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,680.0,680.0
685,11086.0,Rauman mlk,Raumo lk,Rauma mlk,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,684.0,684.0
704,11087.0,Rusko,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,704.0,704.0
705,11088.0,Rymättylä,Rimito,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,705.0,705.0
738,11089.0,Sauvo,Sagu,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,738.0,738.0
747,11090.0,Siikainen,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,747.0,747.0
772,11091.0,Suodenniemi,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,772.0,772.0
776,11092.0,Suomusjärvi,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,776.0,776.0
779,11093.0,Suoniemi,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,779.0,779.0
783,11094.0,Säkylä,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,783.0,783.0
784,11095.0,Särkisalo,Finby,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,784.0,784.0
833,11096.0,Taivassalo,Tövsala,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,833.0,833.0
838,11097.0,Tarvasjoki,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,838.0,838.0
861,11098.0,Tyrvää,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,861.0,861.0
886,11099.0,Ulvila,Ulvsby,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,886.0,886.0
888,11100.0,Uskela,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,888.0,734.0
896,11101.0,Uusikaupunki mlk,Nystad lk,Uudenkauppungit mlk,Uudenkaupungin mlk,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,895.0,895.0
906,11102.0,Vahto,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,906.0,906.0
913,11103.0,Vampula,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,913.0,913.0
918,11104.0,Vehmaa,Vehmas,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,918.0,918.0
920,11105.0,Velkua,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,920.0,920.0
923,11106.0,Vestanfjärd,Västanfjärd,Westanfjärdi,Westanfjärd,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,923.0,923.0
932,11107.0,Viljakkala,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,932.0,932.0
979,11108.0,Yläne,,,,Turun ja Porin lääni,Turun ja Porin lääni,Remain,0.0,979.0,979.0
478,20010.0,Maarianhamina,Mariehamn,,,Ahvenanmaa,Åland,Remain,1.0,478.0,170.0
35,21001.0,Brändö,,,Brändöö,Ahvenanmaa,Åland,Remain,0.0,35.0,35.0
43,21002.0,Eckerö,,,Ekkerö,Ahvenanmaa,Åland,Remain,0.0,43.0,43.0
60,21003.0,Finström,,,,Ahvenanmaa,Åland,Remain,0.0,60.0,60.0
62,21004.0,Föglö,,,Föglöö,Ahvenanmaa,Åland,Remain,0.0,62.0,62.0
65,21005.0,Geta,,,Geeta,Ahvenanmaa,Åland,Remain,0.0,65.0,65.0
76,21006.0,Hammarland,,,Hammarlanti,Ahvenanmaa,Åland,Remain,0.0,76.0,76.0
170,21007.0,Jomala,,,,Ahvenanmaa,Åland,Remain,0.0,170.0,170.0
295,21008.0,Kumlinge,,,Kumlinki,Ahvenanmaa,Åland,Remain,0.0,295.0,295.0
318,21009.0,Kökar,,,Köökari,Ahvenanmaa,Åland,Remain,0.0,318.0,318.0
417,21010.0,Lemland,,,Lemlanti,Ahvenanmaa,Åland,Remain,0.0,417.0,417.0
438,21011.0,Lumparland,,,,Ahvenanmaa,Åland,Remain,0.0,438.0,438.0
736,21012.0,Saltvik,,,,Ahvenanmaa,Åland,Remain,0.0,736.0,736.0
766,21013.0,Sottunga,,,,Ahvenanmaa,Åland,Remain,0.0,766.0,766.0
771,21014.0,Sund,,,,Ahvenanmaa,Åland,Remain,0.0,771.0,771.0
941,21015.0,Vårdö,,,Wordöö,Ahvenanmaa,Åland,Remain,0.0,941.0,941.0
109,30010.0,Hämeenlinna,Tavastehus,,,Hämeen lääni,Tavastehus län,Remain,1.0,109.0,109.0
398,30020.0,Lahti,Lahtis,,,Hämeen lääni,Tavastehus län,Remain,1.0,398.0,398.0
837,30031.0,Tampere,Tammerfors,,,Hämeen lääni,Tavastehus län,Remain,1.0,837.0,837.0
61,30110.0,Forssa,,Forssa kla,Forssan kla,Hämeen lääni,Tavastehus län,Remain,1.0,61.0,61.0
506,30120.0,Mänttä,,Mänttä kla,Mäntän kla,Hämeen lääni,Tavastehus län,Remain,1.0,506.0,506.0
536,30130.0,Nokia,Nokian kla,Nokia kla,Pohjois_Pirkkala,Hämeen lääni,Tavastehus län,Remain,1.0,536.0,536.0
